bldg_id,in.sqft,in.ground_thermal_conductivity,in.vintage,in.heating_fuel,in.hvac_heating_efficiency,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_has_ducts,out.unmet_hours.cooling.hour,out.unmet_hours.heating.hour,base_heating_size,base_cooling_size,upgrade_heating_size,sqft_conditioned,year,month,day,hour,baseline.cooling.energy.kbtu.CP,baseline.heating.energy.kbtu.CP,baseline_total_elec_kwh,baseline_cooling_total_elec_kwh,baseline_cooling_elec_kwh,baseline_cooling_fans_pumps_elec_kwh,baseline_heating_elec_kwh,baseline_heating_gas_kwh,baseline_heating_propane_kwh,baseline_heating_fuel_oil_kwh,upgrade.cooling.energy.kbtu.CP,upgrade.heating.energy.kbtu.CP,upgrade_total_elec_kwh,upgrade_cooling_total_elec_kwh,upgrade_cooling_elec_kwh,upgrade_cooling_fans_pumps_elec_kwh,upgrade_heating_elec_kwh,upgrade_heating_gas_kwh,upgrade_heating_propane_kwh,upgrade_heating_fuel_oil_kwh,time_hour
5797,2179,1.1,1990s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,3.5,6,45.44,22.2,51.72,2179,2018,1,7,7,0,46.42,16.299,0.048,0.048,0,13.64,0,0,0,0,47.664,6.491,0,0,0,3.884,0,0,0,2018-01-07 07:00:00
8533,1698,1.4,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 15",0.8,Yes,32.75,17.75,49.7,20.16,54.77,1358.4,2018,1,7,7,0,49.97,15.92,0.048,0.048,0,14.912,0,0,0,0,51.449,5.395,0,0,0,4.438,0,0,0,2018-01-07 07:00:00
14864,2678,1.1,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,969.25,29.5,57.94,30.52,58.93,2678,2018,1,7,7,0,59.616,17.852,0.048,0.048,0,17.38,0,0,0,0,59.178,4.94,0,0,0,4.515,0,0,0,2018-01-07 07:00:00
22529,2678,1.4,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,212.25,1,75.21,44.04,73.46,2678,2018,1,7,7,0,76.851,24.023,0.048,0.048,0,22.512,0,0,0,0,68.8,7.197,0,0,0,5.742,0,0,0,2018-01-07 07:00:00
25228,2179,1.1,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,107.25,0,63.75,39.66,61.38,2179,2018,1,7,7,0,55.221000000000004,16.652,0.048,0.048,0,16.181,0,0,0,0,53.015,4.7379999999999995,0,0,0,4.316,0,0,0,2018-01-07 07:00:00
28148,2678,1.1,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 15",1,Yes,18.25,7.25,24.06,17.33,35.14,2678,2018,1,7,7,0,24.465,7.668,0.048,0.048,0,7.167999999999999,0,0,0,0,25.54,2.628,0,0,0,2.1839999999999997,0,0,0,2018-01-07 07:00:00
40768,2179,1.4,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,52.5,0,61.06,32.14,61.25,2179,2018,1,7,7,0,62.025999999999996,18.667,0.048,0.048,0,18.186,0,0,0,0,57.641,5.186,0,0,0,4.757,0,0,0,2018-01-07 07:00:00
41606,1698,1.1,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,1108,39.5,35.57,15.57,43.77,1698,2018,1,7,7,0,26.372999999999998,8.431000000000001,0.048,0.048,0,7.73,0,0,0,0,26.363,2.823,0,0,0,2.169,0,0,0,2018-01-07 07:00:00
46199,1698,1.1,1990s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 10",1,Yes,1,22.75,63.25,33.18,61.27,1698,2018,1,7,7,0,60.776,19.049,0.048,0.048,0,17.809,0,0,0,0,58.768,5.873,0,0,0,4.684,0,0,0,2018-01-07 07:00:00
54677,1698,1.1,1990s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,0.25,1,24.59,18.08,35.63,1698,2018,1,7,7,0,24.303,7.9239999999999995,0.048,0.048,0,7.124,0,0,0,0,24.226,2.847,0,0,0,2.097,0,0,0,2018-01-07 07:00:00
