bldg_id,in.sqft,in.ground_thermal_conductivity,in.vintage,in.heating_fuel,in.hvac_heating_efficiency,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_has_ducts,out.unmet_hours.cooling.hour,out.unmet_hours.heating.hour,base_heating_size,base_cooling_size,upgrade_heating_size,sqft_conditioned,year,month,day,hour,baseline.cooling.energy.kbtu.CP,baseline.heating.energy.kbtu.CP,baseline_total_elec_kwh,baseline_cooling_total_elec_kwh,baseline_cooling_elec_kwh,baseline_cooling_fans_pumps_elec_kwh,baseline_heating_elec_kwh,baseline_heating_gas_kwh,baseline_heating_propane_kwh,baseline_heating_fuel_oil_kwh,upgrade.cooling.energy.kbtu.CP,upgrade.heating.energy.kbtu.CP,upgrade_total_elec_kwh,upgrade_cooling_total_elec_kwh,upgrade_cooling_elec_kwh,upgrade_cooling_fans_pumps_elec_kwh,upgrade_heating_elec_kwh,upgrade_heating_gas_kwh,upgrade_heating_propane_kwh,upgrade_heating_fuel_oil_kwh,time_hour
1874,881,1.4,1950s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,77,2,50.89,22.24,55.7,881,2018,7,2,16,15.914,0,2.3329999999999997,1.781,1.641,0.14,0,0,0,0,16.739,0,2.111,1.56,1.1989999999999998,0.361,0,0,0,0,2018-07-02 16:00:00
5575,1698,1.1,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 15",1,Yes,152,0,76.24,37.14,74.41,1698,2018,7,2,16,20.468,0,2.769,2.065,1.824,0.241,0,0,0,0,18.218,0,2.271,1.567,1.135,0.432,0,0,0,0,2018-07-02 16:00:00
18461,1228,0.8,1970s,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 10",1,Yes,1576.25,0,32.44,14.03,39.65,1228,2018,7,2,16,11.752,0,3.7049999999999996,1.3379999999999999,1.138,0.2,0,0,0,0,15.507,0,3.8930000000000002,1.509,1.156,0.353,0,0,0,0,2018-07-02 16:00:00
19754,1698,1.1,1990s,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 13",1,Yes,0,0,95.9,58.65,95.74,1698,2018,7,2,16,29.497999999999998,0,4.5009999999999994,3.832,3.467,0.365,0,0,0,0,28.841,0,3.5700000000000003,2.9000000000000004,2.124,0.776,0,0,0,0,2018-07-02 16:00:00
21692,1698,1.1,1960s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 15",1,Yes,0,33.5,87.98,67.88,91.21,1698,2018,7,2,16,31.767,0,3.883,3.4699999999999998,2.838,0.632,0,0,0,0,32.295,0,3.399,2.986,2.1750000000000003,0.8109999999999999,0,0,0,0,2018-07-02 16:00:00
29687,3310,1.4,1980s,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 10",1,Yes,247.75,6.5,122.58,57.39,122.56,3310,2018,7,2,16,39.706,0,7.73,6.2780000000000005,5.87,0.408,0,0,0,0,53.704,0,7.398,5.946,4.259,1.6869999999999998,0,0,0,0,2018-07-02 16:00:00
30984,3310,1.1,1960s,Fuel Oil,"Fuel Boiler, 80% AFUE","AC, SEER 15",1,Yes,0,20.25,113.74,117.65,116.96,3310,2018,7,2,16,69.682,0,8.568999999999999,7.9239999999999995,6.771,1.153,0,0,0,0,69.737,0,7.726,7.081999999999999,5.170999999999999,1.911,0,0,0,0,2018-07-02 16:00:00
39211,1228,1.4,1970s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 15",1,Yes,385.5,9.5,34.91,18.23,45.56,1228,2018,7,2,16,13.356,0,2.118,1.371,1.2149999999999999,0.156,0,0,0,0,15.945,0,2.045,1.3499999999999999,1.145,0.205,0,0,0,0,2018-07-02 16:00:00
41903,5587,1.7,<1940,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,325.25,0,143.39,76.54,104.57,5587,2018,7,2,16,64.917,0,8.373000000000001,7.632999999999999,6.073,1.56,0,0,0,0,72.322,0,7.881,7.138999999999999,5.247,1.892,0,0,0,0,2018-07-02 16:00:00
45119,1698,1.4,1980s,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 13",1,Yes,155.25,7,27.27,19.34,38.73,1698,2018,7,2,16,14.042,0,2.59,1.693,1.4729999999999999,0.22,0,0,0,0,15.843,0,2.326,1.4169999999999998,1.236,0.181,0,0,0,0,2018-07-02 16:00:00
46196,2179,1.4,2000s,Propane,"Fuel Furnace, 80% AFUE","AC, SEER 10",1,Yes,275.5,0.75,32.49,19.95,39.87,2179,2018,7,2,16,16.475,0,3.449,2.383,1.967,0.416,0,0,0,0,23.61,0,3.391,2.323,1.809,0.514,0,0,0,0,2018-07-02 16:00:00
50943,1228,1.1,2000s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,0.75,10,40.85,34.88,48.09,1228,2018,7,2,16,21.653,0,2.684,2.362,1.978,0.384,0,0,0,0,21.371000000000002,0,2.125,1.804,1.35,0.454,0,0,0,0,2018-07-02 16:00:00
54612,1698,1.1,1940s,Electricity,"Electric Baseboard, 100% Efficiency","AC, SEER 13",0.8,Yes,96,10.25,78.09,41.01,97.18,1358.4,2018,7,2,16,28.168,0,4.3759999999999994,3.8120000000000003,3.228,0.584,0,0,0,0,41.697,0,5.925000000000001,4.954000000000001,3.591,1.363,0,0,0,0,2018-07-02 16:00:00
54677,1698,1.1,1990s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,0.25,1,24.59,18.08,35.63,1698,2018,7,2,16,7.165,0,1.883,0.906,0.794,0.112,0,0,0,0,7.166,0,1.488,0.511,0.444,0.067,0,0,0,0,2018-07-02 16:00:00
73491,2678,1.7,1940s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 15",1,Yes,538.5,0,81.39,33.24,81.39,2678,2018,7,2,16,22.789,0,3.22,2.424,2.308,0.116,0,0,0,0,36.132999999999996,0,4.74,3.944,2.9699999999999998,0.974,0,0,0,0,2018-07-02 16:00:00
74458,881,1.1,1950s,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 10",1,Yes,198,14.25,37.3,25.97,43.27,881,2018,7,2,16,22.015,0,3.588,3,2.596,0.404,0,0,0,0,27.076999999999998,0,3.097,2.507,1.889,0.618,0,0,0,0,2018-07-02 16:00:00
80045,1698,1.4,2000s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,175.75,24,29.42,24.74,37.4,1698,2018,7,2,16,21.437,0,6.269,2.426,1.91,0.516,0,0,0,0,26.122,0,6.298,2.4539999999999997,1.942,0.512,0,0,0,0,2018-07-02 16:00:00
84368,1228,1.4,1950s,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 13",1,Yes,994,0,30.19,17.14,38.21,1228,2018,7,2,16,14.377,0,1.868,1.546,1.278,0.268,0,0,0,0,19.686,0,2.228,1.906,1.499,0.40700000000000003,0,0,0,0,2018-07-02 16:00:00
94886,2678,1.1,2000s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 15",1,Yes,18.5,10.5,71.96,58.65,71.96,2678,2018,7,2,16,41.814,0,5.603,4.808,3.9,0.908,0,0,0,0,42.415,0,5.388,4.5920000000000005,3.456,1.136,0,0,0,0,2018-07-02 16:00:00
102784,1228,1.7,1980s,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 15",1,Yes,52.25,0,48.45,34.11,54.35,1228,2018,7,2,16,25.057,0,3.144,2.6599999999999997,2.288,0.372,0,0,0,0,26.837,0,2.9699999999999998,2.4859999999999998,1.996,0.49,0,0,0,0,2018-07-02 16:00:00
105999,1698,1.1,<1940,Fuel Oil,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,66.25,0.5,89.53,59.14,88.96,1698,2018,7,2,16,39.992999999999995,0,6.549,5.372999999999999,4.521999999999999,0.851,0,0,0,0,39.019,0,5.482,4.307,3.202,1.105,0,0,0,0,2018-07-02 16:00:00
106431,5587,1.4,2000s,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 13",1,Yes,1388.75,39.25,38.17,27.88,44.92,5587,2018,7,2,16,22.992,0,3.5220000000000002,2.534,2.098,0.436,0,0,0,0,29.379,0,4.014,3.0220000000000002,2.3499999999999996,0.672,0,0,0,0,2018-07-02 16:00:00
131248,1228,1.4,1980s,Electricity,"Electric Baseboard, 100% Efficiency","AC, SEER 13",1,Yes,25.25,45.25,24.23,11.02,33.49,1228,2018,7,2,16,6.971,0,1.893,0.863,0.668,0.195,0,0,0,0,6.964,0,1.6,0.5690000000000001,0.454,0.115,0,0,0,0,2018-07-02 16:00:00
136933,2179,1.1,1940s,Propane,"Fuel Wall/Floor Furnace, 68% AFUE","AC, SEER 15",1,Yes,3.5,29.5,78.31,66.43,100.05,2179,2018,7,2,16,44.565,0,5.429,4.951,4.225,0.726,0,0,0,0,41.68,0,4.889,4.413,3.223,1.19,0,0,0,0,2018-07-02 16:00:00
143943,2678,1.1,2000s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 10",1,Yes,6,7,74.82,54.03,75.97,2678,2018,7,2,16,39.487,0,7.4879999999999995,6.264,5.412,0.852,0,0,0,0,40.870000000000005,0,5.365,4.138,3.087,1.0510000000000002,0,0,0,0,2018-07-02 16:00:00
144701,3310,1.7,1970s,Fuel Oil,"Fuel Furnace, 80% AFUE","AC, SEER 13",0.8,Yes,14.5,6.25,76.72,27.82,76.72,2648,2018,7,2,16,20.87,0,2.707,2.208,1.8679999999999999,0.33999999999999997,0,0,0,0,25.949,0,2.708,2.21,1.578,0.632,0,0,0,0,2018-07-02 16:00:00
